"","...1","Hard.to.go.on.with.work.if.not.encouraged..SCORE.","Feel.resentful.when.I.don.t.get.my.way..SCORE.","On.occasion..given.up.doing.something.because.thought.too.little.of.my.ability..SCORE.","Rebelling.against.people.in.authority.even.though.they.were.right..SCORE.","No.matter.who.I.m.talking.to..I.m.always.a.good.listener..SCORE.","Been.occasions.when.I.took.advantage.of.someone..SCORE.","Always.willing.to.admit.it.when.I.make.a.mistake..SCORE.","I.sometimes.try.to.get.even.rather.than.forgive.and.forget..SCORE.","I.am.always.courteous..even.to.people.who.are.disagreeable..SCORE.","Never.been.irked.when.people.expressed.ideas.very.different..SCORE.","There.have.times.when.I.was.quite.jealous.of.the.good.fortune.of.others..SCORE.","I.am.sometimes.irritated.by.people.who.ask.favors.of.me..SCORE.","I.have.never.deliberately.said.something.that.hurt.someone.s.feelings..SCORE.","social desirability score"
"1","02-001",0,1,0,0,0,1,0,0,0,1,0,1,1,5
"2","02-002",0,0,0,1,0,0,0,0,1,1,0,1,1,5
"3","02-003",0,1,0,0,0,0,0,0,0,0,0,0,1,2
"4","02-004",0,0,1,0,0,0,0,0,0,0,0,0,0,1
"5","02-005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","02-006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","02-007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","02-008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","02-009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","02-010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","02-011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","02-012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","02-013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","02-014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","02-015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","02-016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","02-017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","02-018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","02-019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","02-020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","02-021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","02-022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","02-023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","02-024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","02-025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","02-026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","02-027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","02-028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","02-029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","02-030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","02-031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","02-032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","02-033",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","02-034",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","02-035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","02-036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","02-037-inconsistent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","02-038",0,1,1,0,0,1,0,0,1,1,1,0,1,7
"39","02-039-inconsistent",0,1,1,0,0,1,0,0,1,1,1,0,1,7
"40","02-040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","02-041",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","02-042",0,1,0,0,0,1,0,0,0,0,0,0,1,3
"43","02-043",0,0,1,1,0,1,0,1,0,1,0,1,0,6
"44","02-044",1,0,0,0,0,0,1,1,0,1,1,1,0,6
"45","02-045",1,0,1,0,0,1,0,1,1,1,1,0,1,8
"46","02-046",1,1,0,1,0,0,0,1,0,0,1,0,1,6
"47","02-047",0,1,1,1,0,0,0,1,1,0,1,0,1,7
"48","02-048",1,1,0,1,0,0,0,1,0,0,1,1,0,6
"49","02-049",1,0,0,0,0,1,0,0,0,1,0,1,1,5
"50","02-050",1,0,1,1,0,1,1,0,0,0,1,1,0,7
"51","02-051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","02-052",1,1,0,0,0,0,0,1,0,0,0,1,0,4
"53","02-053",0,0,0,0,0,0,0,0,0,0,0,1,1,2
"54","02-054",1,1,0,1,0,1,0,1,0,1,0,0,0,6
"55","02-055",1,0,1,0,0,0,0,0,0,0,1,1,0,4
"56","02-056",0,0,1,0,0,1,1,1,1,0,1,0,1,7
"57","02-057",1,1,0,1,0,1,1,1,0,0,0,0,0,6
"58","02-058",1,1,1,1,1,1,1,1,0,0,1,1,1,11
"59","02-059",0,1,1,1,0,0,0,1,1,0,1,0,1,7
"60","02-060",1,0,1,0,0,1,0,0,0,1,0,0,0,4
"61","02-061",1,1,0,0,0,0,0,1,0,1,0,0,0,4
"62","02-062",1,1,0,1,0,0,0,1,0,0,0,0,1,5
"63","02-063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","02-064",0,0,1,0,0,1,0,1,0,0,1,1,0,5
"65","02-065",0,0,1,0,0,0,0,0,0,1,0,0,1,3
"66","02-066",1,1,1,0,0,0,0,0,1,1,0,0,0,5
"67","02-067",1,0,0,0,0,0,1,0,1,0,0,0,1,4
"68","02-068",0,0,1,0,0,0,0,0,0,1,0,1,1,4
"69","02-069",1,1,1,1,1,1,1,0,0,1,1,0,1,10
"70","02-070",0,0,0,0,0,0,0,1,0,1,1,0,1,4
"71","02-071",1,0,0,0,0,0,0,1,0,1,0,0,0,3
